,Id,Origem,Fonte,Não enviar e-mail,Não ligar,Convertido,Total de visitas,Tempo gasto no site,Páginas por visita,Última atividade,País,Área de Interesse,Como soube de nós,Ocupação,Tags,Qualidade do Lead,Perfil de Lead,Cidade,Última atividade notável
0,660737,API Externa,ChatBot,Não,Não,0,0.0,0,0.0,Página Visitada no Site,,Programação,,Desempregado,Interesse em Outros Cursos,Provavelmente Não,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
1,660728,API Externa,Busca Orgânica,Não,Não,0,5.0,674,2.5,E-mail Aberto,Brasil,Programação,,Desempregado,Tocando,,Lead Encontrado,Rio de Janeiro,E-mail Aberto
2,660727,Landing Page Submission,Tráfego Direto,Não,Não,1,2.0,1532,2.0,E-mail Aberto,Brasil,Administração de Empresas,,Estudante,Será Revertido Após Ler o E-mail,Talvez,Lead em Potencial,São Paulo,E-mail Aberto
3,660719,Landing Page Submission,Tráfego Direto,Não,Não,0,1.0,305,1.0,Inacessível,Brasil,Mídia e Publicidade,Conversa com Amigos,Desempregado,Tocando,Incerto,Lead Encontrado,São Paulo,Modificação nos Dados Pessoais
4,660681,Landing Page Submission,Google,Não,Não,1,2.0,1428,1.0,Converteu como Lead,Brasil,Programação,Outros,Desempregado,Será Revertido Após Ler o E-mail,Talvez,Lead Encontrado,São Paulo,Modificação nos Dados Pessoais
5,660680,API Externa,ChatBot,Não,Não,0,0.0,0,0.0,Conversa com Chatbot,,,,,,,,,Modificação nos Dados Pessoais
6,660673,Landing Page Submission,Google,Não,Não,1,2.0,1640,2.0,E-mail Aberto,Brasil,Gestão da Cadeia de Suprimentos,Pesquisa Online,Desempregado,Será Revertido Após Ler o E-mail,Provavelmente Não,Lead em Potencial,São Paulo,Modificação nos Dados Pessoais
7,660664,API Externa,ChatBot,Não,Não,0,0.0,0,0.0,Conversa com Chatbot,,,,,,,,,Modificação nos Dados Pessoais
8,660624,Landing Page Submission,Tráfego Direto,Não,Não,0,2.0,71,2.0,E-mail Aberto,Brasil,Gerenciamento de Projetos de TI,,,,,,Guarulhos,E-mail Aberto
9,660616,API Externa,Google,Não,Não,0,4.0,58,4.0,E-mail Aberto,Brasil,Finanças,Conversa com Amigos,,,,,São Paulo,E-mail Aberto
10,660608,Landing Page Submission,Busca Orgânica,Não,Não,1,8.0,1351,8.0,E-mail Aberto,Brasil,Viagens e Turismo,,Desempregado,Será Revertido Após Ler o E-mail,Talvez,Lead Encontrado,Outra Região Metropolitana,E-mail Aberto
11,660570,Landing Page Submission,Tráfego Direto,Não,Não,1,8.0,1343,2.67,Página Visitada no Site,Brasil,Recursos Humanos,,Desempregado,Caixa Postal,,Lead Encontrado,Guarulhos,Página Visitada no Site
12,660562,API Externa,Busca Orgânica,Não,Não,1,11.0,1538,11.0,E-mail Aberto,Brasil,Marketing,,Desempregado,Será Revertido Após Ler o E-mail,Talvez,Lead em Potencial,Rio de Janeiro,Modificação nos Dados Pessoais
13,660558,Landing Page Submission,Busca Orgânica,Não,Não,0,5.0,170,5.0,E-mail Aberto,Brasil,Administração de Empresas,,Desempregado,Tocando,,Lead Encontrado,Guarulhos,E-mail Aberto
14,660553,Landing Page Submission,Tráfego Direto,Sim,Não,0,1.0,481,1.0,E-mail Descartado,Brasil,Administração de Empresas,,Desempregado,,,Lead Encontrado,Rio de Janeiro,E-mail Descartado
15,660547,API Externa,Busca Orgânica,Não,Não,1,6.0,1012,6.0,E-mail Aberto,Brasil,Programação,,Desempregado,Será Revertido Após Ler o E-mail,Talvez,Lead Encontrado,Rio de Janeiro,E-mail Aberto
16,660540,API Externa,ChatBot,Não,Não,0,0.0,0,0.0,Conversa com Chatbot,,,,,,,,,Modificação nos Dados Pessoais
17,660534,API Externa,WebSite de Parceiros,Não,Não,0,6.0,973,6.0,Link do E-mail Clicado,Brasil,Programação,,Desempregado,Interesse em Outros Cursos,Talvez,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
18,660522,Landing Page Submission,Google,Não,Não,1,6.0,1688,3.0,Página Visitada no Site,Brasil,Marketing,Várias Fontes,Desempregado,,,Lead Encontrado,São Paulo,Página Visitada no Site
19,660509,API Externa,Busca Orgânica,Não,Não,0,3.0,98,3.0,Página Visitada no Site,Brasil,Programação,,Desempregado,Interesse em Outros Cursos,Com Certeza Não,Lead Encontrado,Rio de Janeiro,Modificação nos Dados Pessoais
20,660479,Landing Page Submission,Google,Não,Não,0,1.0,233,1.0,Inacessível,Brasil,Mídia e Publicidade,Pesquisa Online,Desempregado,Interesse em Outros Cursos,Incerto,Lead Encontrado,São Paulo,Modificação nos Dados Pessoais
