   Trimestre          Cidade  Faturamento
0     2020Q1        Campinas    241520.77
1     2020Q1        Curitiba    734077.98
2     2020Q1       Fortaleza   1754990.31
3     2020Q1          Osasco    989728.52
4     2020Q1          Recife    128167.25
5     2020Q1  Ribeirão Preto    986843.40
6     2020Q1        Salvador    669540.39
7     2020Q1       São Paulo   2590631.29
8     2020Q1      Uberlândia    281889.62
9     2020Q1      Vila Velha    258988.64
10    2020Q2        Campinas    261633.44
11    2020Q2        Curitiba    691661.47
12    2020Q2       Fortaleza   1694533.74
13    2020Q2          Osasco    969774.81
14    2020Q2          Recife    123222.83
15    2020Q2  Ribeirão Preto   1096941.36
16    2020Q2        Salvador    670035.67
17    2020Q2       São Paulo   2647883.49
18    2020Q2      Uberlândia    299292.67
19    2020Q2      Vila Velha    254334.09
20    2020Q3        Campinas    301442.39
21    2020Q3        Curitiba    873884.89
22    2020Q3       Fortaleza   2096960.55
23    2020Q3          Osasco   1157736.68
24    2020Q3          Recife    146380.52
25    2020Q3  Ribeirão Preto   1288014.14
26    2020Q3        Salvador    799246.81
27    2020Q3       São Paulo   3048781.40
28    2020Q3      Uberlândia    321616.49
29    2020Q3      Vila Velha    303363.45
30    2020Q4        Campinas    527872.59
31    2020Q4        Curitiba   1393699.70
32    2020Q4       Fortaleza   3309836.33
33    2020Q4          Osasco   1991622.59
34    2020Q4          Recife    225104.66
35    2020Q4  Ribeirão Preto   1989327.65
36    2020Q4        Salvador   1332148.86
37    2020Q4       São Paulo   3635980.27
38    2020Q4      Uberlândia    536696.91
39    2020Q4      Vila Velha    452706.15
