Distribuição Uniforme,Distribuição Normal
-100,-29.819171397288386
-99,-6.3670974841035015
-98,-29.17954550585947
-97,4.892294371347528
-96,-9.798857869150032
-95,-10.168902692688688
-94,-21.399648995054555
-93,19.145262797107936
-92,-1.103723579215455
-91,-39.898173516501714
-90,-2.4679822438721364
-89,23.238018275375616
-88,-82.58061972403644
-87,0.40625280967146826
-86,-18.984968714896155
-85,-22.22707418742194
-84,-24.168699423758923
-83,-16.117746322885957
-82,-10.05962125648438
-81,-24.878496460962072
-80,-0.2312967556519413
-79,11.844207561708279
-78,8.310887195527494
-77,-21.135851208218266
-76,-48.869553457228044
-75,68.59319720892532
-74,-12.181240301169362
-73,10.73949865334239
-72,66.0839610216997
-71,30.18115171291958
-70,-19.28634410289412
-69,-43.217221437494764
-68,14.399409323309175
-67,4.58036785189965
-66,-16.177897513421524
-65,10.24999535336509
-64,68.99600523499136
-63,-12.185918401227276
-62,-14.044680315512093
-61,39.55577314361252
-60,-13.154657015475538
-59,7.205102627806881
-58,-5.619029778265502
-57,-50.51237056978663
-56,-40.61579307150337
-55,-47.357784891487164
-54,33.35597136269681
-53,17.573206613806967
-52,22.05130830400668
-51,72.61435611642142
-50,-6.864786213961692
-49,-14.841691197409446
-48,1.5395722631077575
-47,-2.0028300620311694
-46,23.441292998905986
-45,27.699723958581657
-44,-12.93995624896911
-43,15.875493046392004
-42,14.662145828185183
-41,-1.1710386074428603
-40,0.6683893925802176
-39,-11.835754472730809
-38,38.87099348389469
-37,29.463383867365785
-36,27.747437716698666
-35,69.57478729164761
-34,-21.15884200378733
-33,8.227465406142167
-32,-19.213095755569988
-31,-4.763529578879535
-30,-39.50496678144872
-29,-32.32787287535469
-28,31.58145670543565
-27,-6.275792645380108
-26,-20.320750128747832
-25,25.17543467364212
-24,63.65327192746997
-23,-52.41825865005795
-22,-36.4343817815057
-21,52.693061287363754
-20,54.21944215226556
-19,32.68246335601594
-18,-28.309362950781775
-17,34.44016821482343
-16,8.482526356029494
-15,11.786916596596816
-14,25.461672398134507
-13,31.875523703215322
-12,28.45202074115088
-11,35.88901962370954
-10,-23.319529119490678
-9,4.081208901555971
-8,-7.335838853449429
-7,10.588237275568392
-6,-16.186892037891667
-5,-3.028607115357871
-4,71.9613436908951
-3,35.32946788712529
-2,68.04504208243104
-1,-5.457587310415177
0,19.73900944482225
1,14.568900188554991
2,13.329042023041383
3,27.522702635396698
4,32.10155058500149
5,-12.430974841559888
6,8.274815382140986
7,-49.77086009521614
8,9.260583368246893
9,-12.173545409166037
10,-8.760948518955972
11,-10.29348752582539
12,-27.61519208597766
13,-10.657515615433223
14,56.0728096247738
15,-7.5595597017036225
16,54.053140765722794
17,42.51021424255923
18,21.632930022365276
19,59.21703957088721
20,35.76236606402671
21,-34.72290020796851
22,-39.17510655603181
23,-17.95966609302542
24,54.76537479321182
25,-7.424605615707875
26,-5.105986724880672
27,-1.93866439643367
28,2.654026970903686
29,14.84077597608757
30,-59.653571524823136
31,6.527038795508163
32,-19.93967362082835
33,42.38516880052802
34,-8.242036546857346
35,-21.24749011744069
36,3.068121154163959
37,-1.987617624310035
38,22.393343881587963
39,-2.7492944914888047
40,-6.305243096931659
41,-34.50300618911481
42,13.575520709928341
43,-18.835592267759274
44,-2.651737402726694
45,-8.281477673109848
46,-29.999215946863387
47,10.296371889540165
48,-11.521697648254145
49,32.81617644163411
50,-3.7090481934988326
51,58.12254242938743
52,-32.56522727286208
53,-14.161876349635774
54,52.10582228498383
55,-62.77598831994103
56,-32.943695979601166
57,16.663085087276045
58,10.325862247696
59,26.172898734080132
60,18.32860459647981
61,7.262330313148546
62,34.19261622069326
63,23.913894991962128
64,9.787202509030921
65,3.731474370167851
66,22.338905261251597
67,11.419727395797901
68,19.516289592976428
69,-46.94816789541772
70,-29.17559084060764
71,-4.010722188821304
72,-18.61722813974371
73,37.28364201536581
74,12.150168674413298
75,-38.49654701907209
76,12.768185670339214
77,19.822588863020357
78,15.06117904992808
79,-38.00477318421115
80,-28.847108340527612
81,36.8537530442684
82,-1.0520452904839677
83,-0.8337609976805489
84,2.3753146831879786
85,-41.331431663909925
86,3.2104624030164985
87,-10.028257824141892
88,-5.271027258951674
89,22.366216765837894
90,34.553264628831975
91,33.801715032295036
92,4.881601177647604
93,39.26888985341886
94,-25.237231662325577
95,2.948010989638546
96,-43.576257034483845
97,-42.27203463802372
98,47.07380741263785
99,-22.79565857154768
