,Marca,Processador,Memória RAM (GB),Disco Rígido (TB),Disco Rígido SSD (MB),Placa Gráfica (GB),Valor Médio,Processador_numero
0,Lenovo,i5,4,1,0,0,3700.0,5
1,Lenovo,i3,4,1,0,0,2700.0,3
2,Lenovo,i3,4,0,120,0,3500.0,3
3,Lenovo,Ryzen 3,8,0,256,0,3100.0,3
4,Acer,i5,4,1,128,0,3500.5,5
5,Acer,i3,4,0,256,0,3000.0,3
6,Acer,i3,4,1,0,0,2900.0,3
7,Acer,i5,4,0,256,0,3000.0,5
8,Lenovo,i7,8,1,0,2,4200.0,7
9,Lenovo,i5,8,1,0,0,4250.0,5
10,Acer,Ryzen 5,12,1,0,0,4300.0,5
11,Lenovo,Ryzen 5,8,1,0,0,3700.0,5
12,Lenovo,i7,12,0,256,2,5589.0,7
13,Acer,i5,8,0,256,2,4050.0,5
14,Acer,i5,8,1,128,0,4199.99,5
15,Acer,Ryzen 5,8,1,0,2,4500.0,5
16,Acer,Ryzen 5,8,1,128,2,4600.0,5
17,Lenovo,i5,8,0,256,0,5800.0,5
18,Lenovo,Ryzen 7,8,0,256,0,4700.0,7
19,Acer,Ryzen 7,8,0,256,2,4999.0,7
20,Acer,Ryzen 7,12,0,512,2,4125.0,7
21,Acer,i5,8,0,512,2,3850.0,5
22,Lenovo,i5,8,0,256,2,3850.0,5
23,Acer,i5,8,1,128,0,4200.0,5
24,Lenovo,i5,8,1,0,2,4000.5,5
25,Acer,i7,8,1,0,0,4500.0,7
