,Memória RAM (GB),Disco Rígido (TB),Disco Rígido SSD (MB),Placa Gráfica (GB),Valor Médio,Processador_numero,Processador_modelo_Ryzen,Processador_modelo_i,Marca_Acer
0,4,1,0,0,3700.0,5,0,1,0
1,4,1,0,0,2700.0,3,0,1,0
2,4,0,120,0,3500.0,3,0,1,0
3,8,0,256,0,3100.0,3,1,0,0
4,4,1,128,0,3500.5,5,0,1,1
5,4,0,256,0,3000.0,3,0,1,1
6,4,1,0,0,2900.0,3,0,1,1
7,4,0,256,0,3000.0,5,0,1,1
8,8,1,0,2,4200.0,7,0,1,0
9,8,1,0,0,4250.0,5,0,1,0
10,12,1,0,0,4300.0,5,1,0,1
11,8,1,0,0,3700.0,5,1,0,0
12,12,0,256,2,5589.0,7,0,1,0
13,8,0,256,2,4050.0,5,0,1,1
14,8,1,128,0,4199.99,5,0,1,1
15,8,1,0,2,4500.0,5,1,0,1
16,8,1,128,2,4600.0,5,1,0,1
17,8,0,256,0,5800.0,5,0,1,0
18,8,0,256,0,4700.0,7,1,0,0
19,8,0,256,2,4999.0,7,1,0,1
20,12,0,512,2,4125.0,7,1,0,1
21,8,0,512,2,3850.0,5,0,1,1
22,8,0,256,2,3850.0,5,0,1,0
23,8,1,128,0,4200.0,5,0,1,1
24,8,1,0,2,4000.5,5,0,1,0
25,8,1,0,0,4500.0,7,0,1,1
