,Modelo,Marca,Processador,Memória RAM (GB),Disco Rígido (TB),Disco Rígido SSD (MB),Placa Gráfica (GB),Valor Médio,Data,Link
0,Notebook Lenovo B Series B330,Lenovo,i5,4,1,0,0,"3,700.00",08/04/2021,https://www.buscape.com.br/notebook/notebook-lenovo-b330-intel-core-i5-8250u-15-6-4gb-hd-1-tb-windows-10-8-geracao?_lc=88&searchterm=lenovo%204gb%20i5#historico-de-precos
1,Notebook Lenovo IdeaPad S145 81XM0002BR,Lenovo,i3,4,1,0,0,"2,700.00",08/04/2021,https://www.buscape.com.br/notebook/notebook-ideapad-lenovo-81xm0002br-intel-core-i3-8130u-15-6-4gb-hd-1-tb-8-geracao?_lc=88&searchterm=lenovo%204gb%20i3%201tb#historico-de-precos
2,Notebook Lenovo B330,Lenovo,i3,4,0,120,0,"3,500.00",08/04/2021,https://www.buscape.com.br/notebook/notebook-lenovo-b330-intel-core-i3-7020u-15-6-4gb-ssd-120-gb-windows-10-7-geracao?_lc=88&searchterm=lenovo%204gb%20i3%20ssd
3,Notebook Lenovo IdeaPad S145 Ideapad 81V7000CBR,Lenovo,Ryzen 3,8,0,256,0,"3,100.00",08/04/2021,https://www.buscape.com.br/notebook/notebook-lenovo-ideapad-s145-ideapad-81v7000cbr-amd-ryzen-3-3200u-15-6-8gb-ssd-256-gb-windows-10?_lc=88&searchterm=lenovo%20ryzen3
4,Notebook Acer Aspire 3 A315-54K-532Z,Acer,i5,4,1,128,0,"3,500.50",08/04/2021,https://www.buscape.com.br/notebook/notebook-acer-aspire-3-a315-54k-532z-intel-core-i5-6300u-15-6-4gb-hd-1-tb-ssd-128-gb?_lc=88&searchterm=Acer%204gb%20i5%201tb
5,Notebook Acer Aspire 3 A315-56-330J,Acer,i3,4,0,256,0,"3,000.00",08/04/2021,https://www.buscape.com.br/notebook/notebook-acer-aspire-3-a315-56-330j-intel-core-i3-1005g1-15-6-4gb-ssd-256-gb-10-geracao?_lc=88&searchterm=acer%204gb%20
6,Notebook Acer Aspire 3 A315-56-3090,Acer,i3,4,1,0,0,"2,900.00",08/04/2021,https://www.buscape.com.br/notebook/notebook-acer-aspire-3-a315-56-36z1-intel-core-i3-1005g1-15-6-4gb-hd-1-tb-10-geracao?_lc=88&searchterm=acer%204gb%20i3%201tb#historico-de-precos
7,Notebook Acer Aspire 3 A315-56-569F,Acer,i5,4,0,256,0,"3,000.00",08/04/2021,https://www.buscape.com.br/notebook/notebook-acer-aspire-3-a315-56-569f-intel-core-i5-1035g1-15-6-4gb-ssd-256-gb-10-geracao?_lc=88&searchterm=i5%204gb%20acer
8,Notebook Lenovo IdeaPad S145,Lenovo,i7,8,1,0,2,"4,200.00",08/04/2021,https://www.buscape.com.br/notebook/notebook-lenovo-ideapad-s145-intel-core-i7-8565u-15-6-8gb-hd-1-tb-geforce-mx110-windows-10?og=19191&utm_source=rtbhouse&utm_medium=midia&utm_term=notebook&utm_campaign=retargeting&utm_content=notebook+lenovo+ideapad+s145+intel+core+i7+8565u+8%C2%AA+gera%C3%A7%C3%A3o+8gb+de+ram+hd+1+tb+15%2C6%22+full+hd+geforce+mx110+windows+10+81s90003br&fs=202009071220a1329a68
9,Notebook Lenovo B330,Lenovo,i5,8,1,0,0,"4,250.00",08/04/2021,https://www.buscape.com.br/notebook/notebook-lenovo-b330-intel-core-i5-8250u-15-6-8gb-hd-1-tb-windows-10-8-geracao?_lc=88&q=notebook
