,Marca,Processador,Memória RAM (GB),Disco Rígido (TB),Disco Rígido SSD (MB),Placa Gráfica (GB),Valor Médio
0,Lenovo,i5,4,1,0,0,3700.0
1,Lenovo,i3,4,1,0,0,2700.0
2,Lenovo,i3,4,0,120,0,3500.0
3,Lenovo,Ryzen 3,8,0,256,0,3100.0
4,Acer,i5,4,1,128,0,3500.5
5,Acer,i3,4,0,256,0,3000.0
6,Acer,i3,4,1,0,0,2900.0
7,Acer,i5,4,0,256,0,3000.0
8,Lenovo,i7,8,1,0,2,4200.0
9,Lenovo,i5,8,1,0,0,4250.0
10,Acer,Ryzen 5,12,1,0,0,4300.0
11,Lenovo,Ryzen 5,8,1,0,0,3700.0
12,Lenovo,i7,12,0,256,2,5589.0
13,Acer,i5,8,0,256,2,4050.0
14,Acer,i5,8,1,128,0,4199.99
15,Acer,Ryzen 5,8,1,0,2,4500.0
16,Acer,Ryzen 5,8,1,128,2,4600.0
17,Lenovo,i5,8,0,256,0,5800.0
18,Lenovo,Ryzen 7,8,0,256,0,4700.0
19,Acer,Ryzen 7,8,0,256,2,4999.0
20,Acer,Ryzen 7,12,0,512,2,4125.0
21,Acer,i5,8,0,512,2,3850.0
22,Lenovo,i5,8,0,256,2,3850.0
23,Acer,i5,8,1,128,0,4200.0
24,Lenovo,i5,8,1,0,2,4000.5
25,Acer,i7,8,1,0,0,4500.0
