Valores,Códigos
24687,754
22609,6958
26932,6245
25181,4227
4747,6458
13669,6221
8124,3009
13529,4852
40051,2585
18547,1308
36202,6243
18727,5903
8381,783
13677,3674
2656,2240
19453,6686
12128,4553
25738,4737
38480,5290
46655,6478
30153,273
27345,4004
24271,88
36646,4305
18350,5415
33583,3297
49405,3211
16024,2989
55,2739
7564,2768
17962,226
27028,1539
28154,2650
48250,3048
19157,3383
4924,6982
34306,1668
18192,783
36521,1135
1863,5937
46725,1997
20098,2082
3540,2074
44462,4228
49364,441
12686,6382
6454,2388
4698,6574
46147,2222
